mlbam_id,name,p,bi_rank,breakout_next,next_pts
665487,Fernando Tatis Jr.,2.9403154853344535,83,0,750.0
666310,Bo Naylor,2.905415608373729,84,0,55.0
671277,Luis García Jr.,2.8898903088740764,85,1,593.0
700932,Kyle Manzardo,2.881864035570307,86,0,304.0
666624,Christopher Morel,2.859498876424878,87,0,64.0
663586,Austin Riley,2.823908078015059,88,0,509.0
593428,Xander Bogaerts,2.8130250484700854,89,0,502.0
677594,Julio Rodríguez,2.726524159976144,90,0,598.0
669326,Bryce Teodosio,2.6443694555282717,91,0,47.0
521692,Salvador Perez,2.64227168435895,92,0,509.0
802415,Chandler Simpson,2.6298313869591814,93,0,596.0
666969,Adolis García,2.6006788607017643,94,0,201.0
702332,Caleb Durbin,2.553385358907866,95,0,524.0
660271,Shohei Ohtani,2.4929425541966403,96,0,689.0
642201,Eli White,2.492385180108671,97,0,210.0
687401,Joey Ortiz,2.4715769100848735,98,0,353.0
669065,Kyle Stowers,2.4645816120333803,99,0,453.0
672016,Denzel Clarke,2.449191372789534,100,0,44.0
807713,Matt Shaw,2.4423450355208414,101,0,182.0
672724,Oswald Peraza,2.4011970183000813,102,0,300.0
690022,Ryan Ritter,2.3193819826888054,103,0,10.0
682626,Francisco Alvarez,2.307722147068688,104,0,344.0
553993,Eugenio Suárez,2.2658508895240526,105,0,418.0
686668,Brenton Doyle,2.251163752682906,106,0,181.0
807712,Luke Keaschall,2.2452316457338504,107,0,547.0
701538,Jackson Merrill,2.221485565286858,108,0,678.0
682622,Noelvi Marte,2.1983359311894093,109,0,163.0
663457,Lars Nootbaar,2.187716147463743,110,0,254.0
682641,Luis Matos,2.1876367486276527,111,0,12.0
668885,Austin Martin,2.17627951853438,112,0,324.0
681351,Logan O'Hoppe,2.0957984510304746,113,0,223.0
673237,Yainer Diaz,2.0940231654565844,114,0,324.0
657656,Ramón Laureano,2.087163129270241,115,0,194.0
676914,Davis Schneider,2.0834864750307815,116,0,107.0
671289,Tyler Freeman,2.077737682888695,117,0,250.0
665862,Jazz Chisholm Jr.,2.071749962530785,118,0,582.0
669224,Austin Wells,2.043371986553364,119,0,282.0
670224,Kameron Misner,2.004485710436641,120,0,35.0
592450,Aaron Judge,1.938532567020902,121,0,321.0
677587,Brayan Rocchio,1.9091783926057562,122,0,515.0
694671,Wyatt Langford,1.893797951751772,123,0,447.0
596103,Austin Slater,1.8812312674065794,124,0,66.0
808982,Jung Hoo Lee,1.8707480592660637,125,0,543.0
677595,Ronny Mauricio,1.8600796285878345,126,0,26.0
664056,Harrison Bader,1.8552257641704908,127,0,84.0
668804,Bryan Reynolds,1.8537557923566417,128,0,677.0
683734,Andrew Vaughn,1.8020544848001065,129,0,325.0
671739,Michael Harris II,1.781794182526988,130,0,631.0
807799,Masataka Yoshida,1.777601129315345,131,0,278.0
671732,Lawrence Butler,1.7456972898679188,132,0,451.0
669394,Jake Burger,1.6955678456712937,133,0,548.0
669397,Nick Allen,1.6564335312948784,134,0,131.0
669127,Shea Langeliers,1.6442817683521127,135,0,471.0
691720,Kyle Karros,1.6273440680694367,136,0,411.0
543807,George Springer,1.6046609867598542,137,0,463.0
681297,Colton Cowser,1.5945926244456616,138,0,332.0
677942,Blaze Alexander,1.5871999529566094,139,0,299.0
681082,Bryson Stott,1.5699631734676391,140,0,562.0
693307,Dillon Dingler,1.5600253860924265,141,0,594.0
680977,Brendan Donovan,1.5298132042175865,142,0,139.0
664983,Jake McCarthy,1.5276619355013896,143,0,658.0
543760,Marcus Semien,1.5096037979492347,144,0,418.0
649966,Luis Urías,1.503271878914486,145,0,56.0
664770,Nathan Lukes,1.497585351103482,146,0,374.0
663538,Nico Hoerner,1.4933108804563386,147,0,596.0
620443,Luis Torrens,1.486516520959037,148,0,284.0
687263,Zach Neto,1.4607323460177164,149,0,656.0
689414,Liam Hicks,1.4495433870035521,150,1,559.0
641343,Jake Bauers,1.4448421512404561,151,1,614.0
663728,Cal Raleigh,1.4289677781435373,152,0,432.0
678662,Ezequiel Tovar,1.4216273355160565,153,0,371.0
691019,Kyle Teel,1.4076486376685247,154,0,102.0
656941,Kyle Schwarber,1.3908764348295364,155,0,690.0
679845,Nick Loftin,1.3518567451984858,156,0,341.0
683737,Michael Busch,1.3459268217160327,157,0,593.0
682657,Angel Martínez,1.333745100078972,158,0,397.0
642133,Rowdy Tellez,1.3055451178559498,159,0,14.0
670042,Luke Raley,1.3011708354187643,160,0,267.0
683002,Gunnar Henderson,1.2925637302968922,161,0,586.0
609280,Miguel Andujar,1.2527871553129688,162,0,229.0
596146,Max Kepler,1.2515033798663318,163,0,104.0
682829,Elly De La Cruz,1.1998657458695283,164,0,685.0
702176,Alan Roden,1.1507346250338202,165,0,65.0
