"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Mears, Nick",683232,MIL,CU,Curveball,-3.8,-7,177,17.2,48,0.37,0.522,0.433,32.5,31.3,19.0,0.239,0.404,0.306,29.0
"Santana, Dennis",642701,PIT,SI,Sinker,0.5,1,146,13.2,48,0.268,0.39,0.343,6.0,6.3,16.7,0.296,0.475,0.363,45.0
"Cleavinger, Garrett",664076,TB,ST,Sweeper,-1.0,-2,180,17.0,48,0.25,0.273,0.273,35.0,41.7,20.8,0.207,0.274,0.268,29.2
"Fleming, Josh",676596,PIT,CH,Changeup,0.6,1,160,30.1,48,0.156,0.2,0.246,15.9,14.6,11.7,0.232,0.302,0.274,31.6
"Vieira, Thyago",600986,AZ,FF,4-Seam Fastball,-0.2,0,167,22.7,48,0.205,0.487,0.349,23.8,27.1,23.2,0.192,0.42,0.33,55.6
"Winckowski, Josh",670174,BOS,CH,Changeup,-2.7,-4,156,12.6,48,0.364,0.477,0.374,8.4,6.3,10.7,0.268,0.35,0.292,44.2
"Martinez, Justin",679885,AZ,SL,Slider,2.3,6,255,21.7,48,0.178,0.289,0.231,45.1,18.8,25.0,0.275,0.389,0.316,27.8
"Boyd, Matthew",571510,CLE,CH,Changeup,-0.1,0,175,26.2,48,0.261,0.37,0.31,35.2,20.8,21.7,0.247,0.347,0.275,30.6
"Miller, Shelby",571946,DET,SL,Slider,0.1,0,175,20.6,48,0.213,0.447,0.285,23.0,14.6,14.9,0.265,0.48,0.324,42.5
"Holton, Tyler",663947,DET,ST,Sweeper,2.0,4,207,15.5,48,0.13,0.174,0.175,37.9,27.1,18.8,0.139,0.17,0.162,15.2
"Javier, Cristian",664299,HOU,ST,Sweeper,0.4,1,169,29.6,47,0.205,0.341,0.273,25.0,17.0,20.0,0.245,0.372,0.282,27.0
"Payamps, Joel",606303,MIL,SI,Sinker,4.1,7,176,19.6,47,0.159,0.295,0.244,14.1,2.1,5.0,0.273,0.458,0.342,37.2
"Paddack, Chris",663978,MIN,CU,Curveball,-1.3,-3,198,13.6,47,0.326,0.435,0.36,19.0,10.6,7.8,0.343,0.564,0.398,46.3
