"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Messick, Parker",800048,CLE,FF,4-Seam Fastball,2.3,26,1115,41.3,283,0.168,0.27,0.236,26.4,32.5,25.6,0.189,0.293,0.251,33.7
"Bradish, Kyle",680694,BAL,SI,Sinker,0.5,5,938,36.5,277,0.237,0.34,0.307,10.8,20.2,19.6,0.232,0.378,0.312,38.1
"Woo, Bryan",693433,SEA,FF,4-Seam Fastball,1.1,12,1118,46.7,272,0.235,0.402,0.302,25.2,23.2,17.1,0.242,0.432,0.316,45.5
"Harrison, Kyle",690986,MIL,FF,4-Seam Fastball,-0.1,-1,1125,56.9,269,0.261,0.477,0.354,28.6,30.9,22.3,0.233,0.404,0.314,44.7
"Pérez, Eury",691587,MIA,FF,4-Seam Fastball,0.4,4,894,37.9,265,0.209,0.382,0.333,23.2,27.9,22.4,0.207,0.39,0.328,44.5
"Rogers, Trevor",669432,BAL,FF,4-Seam Fastball,0.9,10,1130,46.3,265,0.233,0.425,0.324,24.2,23.8,18.6,0.226,0.409,0.306,41.9
"Gausman, Kevin",592332,CHC,FS,Split-Finger,-0.2,-3,1079,38.4,264,0.204,0.339,0.265,41.8,31.4,19.4,0.198,0.312,0.247,23.6
"Alcantara, Sandy",645261,MIA,SI,Sinker,1.6,13,808,26.4,262,0.265,0.357,0.311,11.8,14.9,18.0,0.26,0.363,0.305,38.8
"Skenes, Paul",694973,PIT,FF,4-Seam Fastball,1.0,11,1071,40.8,262,0.213,0.366,0.288,29.8,32.1,24.7,0.205,0.358,0.28,46.5
"Burke, Sean",680732,CWS,FF,4-Seam Fastball,1.0,10,959,36.9,261,0.185,0.332,0.267,26.6,33.7,20.4,0.189,0.347,0.274,36.7
"Wrobleski, Justin",680736,LAD,FF,4-Seam Fastball,1.1,11,991,49.3,261,0.197,0.345,0.274,23.5,27.2,22.1,0.23,0.41,0.308,43.5
"Springs, Jeffrey",605488,ATH,FF,4-Seam Fastball,-1.5,-15,1007,43.5,260,0.285,0.52,0.391,15.6,17.3,14.4,0.257,0.471,0.362,41.9
"Sale, Chris",519242,ATL,SL,Slider,1.2,12,987,39.8,257,0.186,0.246,0.237,38.0,41.6,25.8,0.174,0.244,0.222,21.7
"Baz, Shane",669358,BAL,CU,Curveball,-0.5,-5,901,32.8,256,0.28,0.389,0.318,29.7,29.3,21.1,0.234,0.351,0.275,43.5
"Cease, Dylan",656302,TOR,FF,4-Seam Fastball,1.0,10,1004,36.8,255,0.205,0.329,0.306,26.0,31.8,23.2,0.197,0.312,0.302,38.5
"Rodriguez, Eduardo",593958,AZ,FF,4-Seam Fastball,1.5,16,1097,39.6,255,0.2,0.326,0.275,21.3,25.9,17.1,0.233,0.428,0.321,38.4
"Imanaga, Shota",684007,CHC,FF,4-Seam Fastball,0.2,2,1060,40.7,255,0.247,0.49,0.333,20.9,21.2,18.3,0.24,0.463,0.321,45.7
"Luzardo, Jesús",666200,PHI,ST,Sweeper,2.1,23,1093,38.2,254,0.112,0.159,0.164,47.6,52.0,30.2,0.127,0.185,0.179,28.4
"Burns, Chase",695505,CIN,SL,Slider,1.6,15,947,38.7,254,0.158,0.253,0.209,51.6,47.2,31.7,0.157,0.245,0.199,37.7
"deGrom, Jacob",594798,TEX,SL,Slider,2.1,18,883,35.7,251,0.158,0.231,0.203,40.7,36.7,24.3,0.192,0.271,0.232,39.6
"Imanaga, Shota",684007,CHC,FS,Split-Finger,1.1,10,879,33.7,251,0.194,0.339,0.251,40.9,30.7,22.4,0.2,0.312,0.237,24.8
"Gilbert, Logan",669302,SEA,FF,4-Seam Fastball,0.7,8,1100,40.1,251,0.246,0.5,0.35,23.0,19.1,19.0,0.258,0.483,0.349,48.6
"Sale, Chris",519242,ATL,FF,4-Seam Fastball,1.1,11,1013,40.9,249,0.22,0.357,0.289,26.4,30.1,22.5,0.23,0.384,0.301,45.1
"Nola, Aaron",605400,PHI,CU,Curveball,1.2,11,907,32.9,246,0.179,0.341,0.259,41.4,39.0,26.7,0.172,0.289,0.227,28.1
"Hancock, Emerson",676106,SEA,FF,4-Seam Fastball,1.8,15,857,39.5,240,0.215,0.377,0.289,23.3,25.0,19.9,0.237,0.444,0.32,48.2
"Detmers, Reid",672282,LAA,SL,Slider,2.1,18,887,32.9,239,0.179,0.237,0.216,35.3,39.3,26.0,0.18,0.249,0.215,29.0
"deGrom, Jacob",594798,TEX,FF,4-Seam Fastball,0.4,4,1036,41.9,238,0.265,0.484,0.348,25.3,26.1,21.9,0.254,0.491,0.346,53.5
"Castillo, Luis",622491,CWS,FF,4-Seam Fastball,-1.1,-10,948,41.7,238,0.256,0.537,0.382,26.5,23.5,15.9,0.242,0.442,0.339,44.4
"Tolle, Payton",801139,BOS,FF,4-Seam Fastball,0.6,6,940,44.9,238,0.192,0.346,0.283,29.6,34.0,24.8,0.181,0.304,0.252,36.3
"Ray, Robbie",592662,SD,FF,4-Seam Fastball,-0.3,-3,866,32.3,234,0.237,0.468,0.367,20.3,21.8,16.9,0.236,0.493,0.377,42.3
"Young, Brandon",687064,BAL,FF,4-Seam Fastball,1.0,10,917,40.6,234,0.223,0.386,0.316,20.5,14.1,11.8,0.247,0.418,0.339,37.6
"Ginn, J.T.",669372,ATH,SI,Sinker,0.8,7,804,36.8,233,0.226,0.347,0.309,21.8,23.2,27.8,0.248,0.371,0.319,37.3
"Manaea, Sean",640455,NYM,FF,4-Seam Fastball,0.4,3,845,37.9,232,0.225,0.431,0.309,22.2,25.0,19.1,0.248,0.475,0.336,51.0
"Holmes, Grant",656550,ATL,SL,Slider,0.9,7,796,36.7,232,0.204,0.351,0.274,39.3,31.0,23.9,0.226,0.377,0.293,39.7
"Rea, Colin",607067,CHC,FF,4-Seam Fastball,-0.1,-1,925,42.3,232,0.292,0.47,0.368,14.4,13.8,12.5,0.29,0.516,0.381,44.8
"Ryan, Joe",657746,MIN,FF,4-Seam Fastball,0.2,2,977,45.3,231,0.248,0.481,0.347,25.7,25.1,18.6,0.237,0.442,0.322,46.4
"Fedde, Erick",607200,CWS,ST,Sweeper,1.2,10,852,37.7,231,0.203,0.362,0.286,22.4,18.2,15.1,0.208,0.367,0.288,29.3
"Griffin, Foster",656492,CLE,FC,Cutter,1.3,11,876,32.8,230,0.239,0.418,0.313,19.9,13.9,15.5,0.272,0.45,0.333,37.2
"King, Michael",650633,SD,CH,Changeup,1.3,10,732,27.1,229,0.204,0.28,0.244,27.8,17.0,16.4,0.229,0.359,0.286,24.3
"Houser, Adrian",605288,SF,SI,Sinker,0.3,2,793,45.8,229,0.286,0.447,0.366,9.5,7.0,11.0,0.308,0.501,0.384,43.6
"Rodriguez, Eduardo",593958,AZ,CH,Changeup,0.6,5,746,26.9,227,0.206,0.333,0.277,27.9,16.7,14.6,0.221,0.333,0.279,21.9
"Baz, Shane",669358,BAL,FF,4-Seam Fastball,0.0,0,946,34.4,226,0.237,0.407,0.322,16.7,22.1,18.9,0.238,0.429,0.331,44.7
"Eovaldi, Nathan",543135,TEX,FS,Split-Finger,1.4,10,737,36.7,226,0.196,0.354,0.267,33.6,28.8,26.0,0.231,0.364,0.287,47.6
"Cole, Gerrit",543037,NYY,FF,4-Seam Fastball,1.5,12,814,49.3,225,0.209,0.37,0.274,21.8,31.1,24.3,0.224,0.377,0.283,46.8
"Rocker, Kumar",677958,TEX,SL,Slider,0.4,4,872,38.2,222,0.201,0.34,0.253,41.7,39.2,25.3,0.185,0.289,0.227,33.9
"Soriano, José",667755,TOR,SI,Sinker,0.4,3,792,29.4,221,0.289,0.358,0.35,19.1,10.0,14.6,0.3,0.427,0.371,47.9
"Cease, Dylan",656302,TOR,SL,Slider,3.0,25,827,30.3,220,0.134,0.188,0.196,44.3,41.8,27.1,0.166,0.223,0.208,25.0
"Roupp, Landen",694738,SF,SI,Sinker,0.2,2,893,34.0,219,0.249,0.424,0.383,8.2,9.6,14.0,0.28,0.467,0.39,39.5
"Sasaki, Roki",808963,LAD,FF,4-Seam Fastball,-1.5,-13,860,41.9,219,0.319,0.589,0.434,19.9,15.5,16.0,0.31,0.527,0.41,57.6
"Webb, Logan",657277,SF,SI,Sinker,1.6,11,701,29.3,218,0.229,0.354,0.313,11.9,9.2,17.1,0.296,0.449,0.363,51.4
"Martinez, Nick",607259,TB,SI,Sinker,1.1,8,719,31.2,216,0.268,0.4,0.302,9.1,17.1,20.1,0.293,0.47,0.338,37.4
"Nelson, Ryne",669194,AZ,FF,4-Seam Fastball,0.3,2,734,56.8,214,0.23,0.434,0.322,19.8,17.8,15.4,0.263,0.506,0.357,46.2
"Kirby, George",669923,SEA,FF,4-Seam Fastball,0.3,2,733,28.5,214,0.25,0.425,0.315,23.3,20.1,17.3,0.252,0.443,0.322,40.1
"Warren, Will",701542,NYY,FF,4-Seam Fastball,0.0,0,874,36.2,214,0.222,0.466,0.328,21.3,25.7,20.3,0.223,0.437,0.32,46.0
"Kelly, Merrill",518876,AZ,CH,Changeup,-0.3,-2,681,27.8,213,0.226,0.337,0.292,31.0,22.5,19.1,0.294,0.442,0.358,35.4
"Cavalli, Cade",676917,WSH,FF,4-Seam Fastball,-0.6,-6,879,32.5,212,0.288,0.476,0.365,22.8,26.4,20.5,0.248,0.436,0.329,45.6
"Mahle, Tyler",641816,ATL,FF,4-Seam Fastball,0.8,9,1026,48.5,212,0.211,0.416,0.311,22.8,27.8,24.3,0.208,0.366,0.297,38.8
"Wacha, Michael",608379,KC,CH,Changeup,1.8,13,685,25.1,210,0.191,0.302,0.247,28.5,26.2,20.8,0.187,0.267,0.22,24.8
"Jump, Gage",695611,ATH,FF,4-Seam Fastball,-0.8,-6,797,46.6,209,0.291,0.497,0.387,23.2,25.4,20.5,0.253,0.429,0.348,44.1
"Cantillo, Joey",676282,CLE,FF,4-Seam Fastball,-1.3,-11,843,33.3,209,0.297,0.523,0.409,15.7,14.8,16.9,0.265,0.492,0.384,55.2
"Rodriguez, Grayson",680570,LAA,FF,4-Seam Fastball,-1.3,-10,788,53.1,208,0.298,0.547,0.393,16.8,17.3,14.9,0.294,0.525,0.386,54.7
"Liberatore, Matthew",669461,STL,FF,4-Seam Fastball,-0.5,-4,736,30.1,207,0.283,0.5,0.375,12.1,14.0,13.7,0.304,0.551,0.397,44.9
"Alcantara, Sandy",645261,MIA,CH,Changeup,-0.4,-2,637,20.8,207,0.238,0.368,0.306,28.5,18.8,18.8,0.25,0.338,0.278,30.1
"Rogers, Tyler",643511,TOR,SI,Sinker,2.0,14,726,76.7,207,0.233,0.28,0.278,12.1,10.6,12.2,0.237,0.311,0.277,29.8
"Peterson, David",656849,CHC,SI,Sinker,-0.1,-1,671,30.3,206,0.298,0.452,0.393,15.5,7.3,16.9,0.342,0.519,0.429,51.9
"Rocker, Kumar",677958,TEX,SI,Sinker,-1.1,-7,675,29.6,204,0.324,0.491,0.422,9.2,6.4,12.6,0.3,0.462,0.384,45.0
"Ureña, Walbert",700712,LAA,CH,Changeup,2.3,17,741,33.6,204,0.161,0.228,0.238,34.9,28.4,23.6,0.154,0.22,0.222,26.0
"Boyd, Matthew",571510,CHC,FF,4-Seam Fastball,-0.7,-5,746,43.7,203,0.294,0.472,0.376,15.0,11.8,11.9,0.301,0.529,0.391,53.8
"Pallante, Andre",669467,STL,FF,4-Seam Fastball,1.1,9,779,33.0,203,0.275,0.385,0.336,14.6,7.9,10.9,0.279,0.404,0.335,40.1
"Bello, Brayan",678394,BOS,SI,Sinker,0.4,3,693,39.9,202,0.316,0.397,0.36,14.8,12.9,17.8,0.312,0.442,0.371,49.3
"Flaherty, Jack",656427,DET,FF,4-Seam Fastball,0.3,3,806,49.2,201,0.224,0.388,0.324,21.0,26.4,20.9,0.235,0.403,0.332,53.3
"Pérez, Martín",527048,ATL,SI,Sinker,0.8,6,729,35.1,199,0.249,0.337,0.328,7.9,12.1,14.3,0.286,0.413,0.359,45.2
"Mahle, Tyler",641816,ATL,FS,Split-Finger,0.1,0,604,28.5,199,0.241,0.348,0.284,26.8,23.6,18.9,0.271,0.406,0.31,37.3
"Yamamoto, Yoshinobu",808967,LAD,FS,Split-Finger,0.9,6,683,26.7,197,0.168,0.289,0.213,33.8,26.9,18.4,0.195,0.265,0.217,34.3
"Cantillo, Joey",676282,CLE,CU,Curveball,0.3,2,763,30.1,197,0.209,0.271,0.283,35.8,35.0,25.7,0.191,0.268,0.249,36.1
"Blubaugh, AJ",805123,HOU,FF,4-Seam Fastball,0.6,5,772,50.9,196,0.204,0.419,0.324,24.0,24.5,19.3,0.225,0.423,0.334,43.0
"Richards, Trevor",670950,CWS,FF,4-Seam Fastball,1.0,7,717,62.8,196,0.256,0.467,0.338,13.0,18.4,17.6,0.247,0.446,0.324,41.8
"Luzardo, Jesús",666200,PHI,FF,4-Seam Fastball,-0.3,-2,749,26.2,196,0.277,0.445,0.35,19.5,26.0,19.6,0.24,0.365,0.308,34.4
"Yesavage, Trey",702056,TOR,FF,4-Seam Fastball,1.1,8,722,46.6,192,0.198,0.358,0.307,20.1,18.2,18.8,0.217,0.369,0.312,40.0
"Skubal, Tarik",669373,LAD,FF,4-Seam Fastball,1.0,7,775,36.8,192,0.232,0.387,0.293,23.9,26.6,20.4,0.245,0.389,0.291,42.4
"Kirby, George",669923,SEA,ST,Sweeper,-0.1,-1,721,28.1,192,0.255,0.391,0.293,26.0,27.1,19.5,0.251,0.371,0.285,34.8
"Elder, Bryce",693821,ATL,SI,Sinker,1.0,6,627,27.9,191,0.233,0.355,0.309,12.0,20.9,28.4,0.251,0.381,0.31,45.1
"Scott, Christian",681035,NYM,FF,4-Seam Fastball,-0.1,-1,862,47.8,191,0.245,0.423,0.342,26.7,29.3,20.4,0.229,0.388,0.324,43.5
"Ferrer, José A.",678606,SEA,SI,Sinker,0.2,2,697,70.5,191,0.297,0.448,0.369,11.9,13.6,15.9,0.268,0.41,0.329,40.1
"Rasmussen, Drew",656876,TB,FC,Cutter,0.8,6,715,28.9,190,0.219,0.348,0.278,25.2,18.4,16.2,0.246,0.37,0.288,30.6
"Pérez, Martín",527048,ATL,CH,Changeup,0.8,5,643,31.0,190,0.167,0.282,0.234,35.0,24.2,19.1,0.232,0.341,0.282,24.4
"Lauer, Eric",641778,LAD,FF,4-Seam Fastball,-0.9,-7,759,41.8,190,0.248,0.552,0.376,20.0,20.5,15.5,0.268,0.561,0.385,45.7
"McDonald, Trevor",686790,SF,SI,Sinker,1.0,6,655,57.6,190,0.286,0.363,0.347,9.9,12.1,16.8,0.26,0.35,0.312,40.4
"Ashcraft, Braxton",677952,PIT,FF,4-Seam Fastball,-1.2,-9,739,30.6,189,0.316,0.602,0.408,17.2,19.0,20.7,0.251,0.476,0.337,45.0
"López, Reynaldo",625643,ATL,FF,4-Seam Fastball,0.6,4,708,54.2,188,0.296,0.467,0.37,15.7,19.1,21.7,0.286,0.477,0.363,40.6
"Warren, Will",701542,NYY,SI,Sinker,-1.3,-8,619,25.7,187,0.309,0.442,0.383,17.4,17.6,21.3,0.298,0.416,0.352,49.6
"King, Michael",650633,SD,SI,Sinker,-0.1,-1,760,28.1,187,0.256,0.481,0.375,17.0,19.3,18.4,0.284,0.501,0.391,45.1
"Gilbert, Logan",669302,SEA,SL,Slider,0.9,6,685,25.0,187,0.211,0.404,0.29,37.2,27.8,24.5,0.246,0.414,0.311,43.8
"Williams, Gavin",668909,CLE,ST,Sweeper,1.1,8,759,28.3,187,0.162,0.301,0.234,43.2,46.5,26.4,0.162,0.268,0.222,31.4
"Wheeler, Zack",554430,PHI,FF,4-Seam Fastball,0.7,6,840,35.6,187,0.207,0.421,0.322,30.2,31.0,21.2,0.187,0.341,0.282,46.2
"McClanahan, Shane",663556,TB,FF,4-Seam Fastball,0.9,7,704,38.5,185,0.234,0.361,0.324,19.5,14.6,17.2,0.274,0.486,0.376,49.2
"Messick, Parker",800048,CLE,CH,Changeup,0.4,3,627,23.2,185,0.216,0.313,0.25,35.9,35.1,21.7,0.192,0.238,0.209,23.0
"Hill, Tim",657612,NYY,SI,Sinker,0.8,5,616,82.6,185,0.233,0.378,0.302,9.7,7.0,9.2,0.27,0.405,0.314,43.5
"Schlittler, Cam",693645,NYY,FC,Cutter,0.3,2,707,25.4,184,0.219,0.402,0.304,23.3,23.9,23.3,0.242,0.39,0.301,35.4
"Lambert, Peter",663567,HOU,FF,4-Seam Fastball,-0.5,-3,735,31.1,183,0.227,0.442,0.326,26.4,29.5,22.5,0.221,0.463,0.331,48.2
"Smith, Cade",671922,CLE,FF,4-Seam Fastball,0.5,4,725,64.4,183,0.231,0.344,0.315,29.9,32.8,25.2,0.229,0.385,0.308,49.5
"Hudson, Bryan",663542,CWS,FF,4-Seam Fastball,1.1,7,648,67.2,183,0.228,0.315,0.28,23.5,24.6,22.8,0.217,0.319,0.267,39.0
"Wacha, Michael",608379,KC,FF,4-Seam Fastball,0.7,5,746,27.4,182,0.224,0.376,0.295,20.4,20.3,16.4,0.262,0.459,0.332,42.1
"Fuentes, Didier",800311,ATL,FF,4-Seam Fastball,0.7,5,764,68.8,181,0.23,0.348,0.299,28.5,31.5,23.1,0.232,0.38,0.302,36.4
"Lopez, Jacob",682052,ATH,SL,Slider,0.1,1,678,34.2,180,0.208,0.327,0.296,29.5,28.3,19.5,0.169,0.253,0.237,22.7
"Assad, Javier",665871,CHC,SI,Sinker,1.5,9,594,42.3,180,0.231,0.344,0.294,8.4,13.9,16.3,0.276,0.406,0.336,51.1
"Bradley, Taj",671737,MIN,FC,Cutter,0.8,6,682,24.4,180,0.177,0.311,0.252,35.3,32.2,25.3,0.172,0.289,0.241,33.0
"Okert, Steven",595345,HOU,SL,Slider,1.6,11,702,66.9,180,0.183,0.323,0.251,35.2,27.8,20.7,0.188,0.341,0.253,28.6
"Ureña, Walbert",700712,LAA,SI,Sinker,0.0,0,705,31.9,180,0.252,0.374,0.339,17.1,11.7,19.4,0.276,0.42,0.353,40.7
"Harris, Hogan",663687,ATH,FF,4-Seam Fastball,0.8,6,745,60.6,180,0.223,0.324,0.321,22.9,28.3,21.3,0.201,0.303,0.3,33.7
"Holmes, Clay",605280,CHC,SI,Sinker,1.2,8,668,49.9,179,0.248,0.369,0.318,11.6,6.1,13.1,0.307,0.451,0.37,46.3
"Liberatore, Matthew",669461,STL,SL,Slider,0.1,0,650,26.6,179,0.216,0.37,0.296,36.4,39.7,27.6,0.189,0.332,0.261,43.0
"Bazardo, Eduard",660825,SEA,SI,Sinker,-0.2,-2,659,62.5,179,0.295,0.455,0.362,14.9,21.8,20.1,0.282,0.461,0.354,46.3
"Gordon, Tanner",685299,COL,FF,4-Seam Fastball,-0.4,-3,610,42.9,178,0.309,0.515,0.371,22.7,22.5,20.7,0.269,0.485,0.338,51.2
"Cavalli, Cade",676917,WSH,CU,Curveball,1.0,7,723,26.7,178,0.191,0.241,0.242,39.2,37.6,26.9,0.201,0.265,0.242,30.9
"Bassitt, Chris",605135,BAL,SI,Sinker,-0.4,-3,582,37.6,178,0.342,0.445,0.388,13.1,13.5,21.6,0.305,0.425,0.361,45.1
"Martinez, Nick",607259,TB,CH,Changeup,1.7,11,610,26.5,178,0.164,0.263,0.201,31.8,21.3,18.0,0.208,0.296,0.233,23.1
"Anderson, Drew",623454,DET,FF,4-Seam Fastball,1.0,7,650,40.3,178,0.218,0.354,0.323,18.6,20.2,18.2,0.214,0.357,0.316,33.3
"Montero, Keider",672456,DET,FF,4-Seam Fastball,1.7,12,663,30.7,177,0.205,0.342,0.276,13.5,14.1,13.9,0.23,0.408,0.31,41.2
"Ober, Bailey",641927,MIN,CH,Changeup,-0.9,-6,639,34.0,177,0.25,0.412,0.329,21.6,15.3,12.7,0.276,0.482,0.359,33.8
"Fedde, Erick",607200,CWS,SI,Sinker,-0.4,-3,682,30.2,177,0.287,0.427,0.354,12.4,15.3,15.1,0.286,0.456,0.357,49.6
"Meyer, Max",676974,MIA,ST,Sweeper,0.9,5,537,30.0,177,0.199,0.267,0.245,35.7,39.0,27.5,0.202,0.301,0.257,39.4
"Imai, Tatsuya",837227,HOU,SL,Slider,0.6,4,638,45.6,175,0.175,0.325,0.271,40.1,37.7,26.8,0.185,0.318,0.272,40.9
"Lowder, Rhett",695076,CIN,SI,Sinker,0.3,2,596,28.8,175,0.293,0.447,0.389,6.7,10.3,13.8,0.323,0.534,0.412,45.9
"Ashby, Aaron",676879,MIL,SI,Sinker,0.1,1,750,52.3,174,0.298,0.424,0.392,16.1,11.5,16.5,0.268,0.383,0.332,45.5
"Williams, Gavin",668909,CLE,FF,4-Seam Fastball,0.8,6,722,26.9,174,0.184,0.322,0.272,32.3,36.8,24.4,0.215,0.396,0.31,45.6
"Pallante, Andre",669467,STL,SL,Slider,1.9,13,694,29.4,172,0.205,0.311,0.265,31.3,26.7,20.1,0.219,0.339,0.269,33.9
"Patrick, Chad",694477,MIL,FC,Cutter,1.1,8,686,42.3,171,0.199,0.358,0.286,29.5,19.9,23.9,0.246,0.411,0.324,31.9
"Seymour, Ian",693855,TB,CH,Changeup,0.6,3,556,29.3,171,0.185,0.346,0.252,39.0,36.8,25.3,0.2,0.338,0.251,35.6
"Valdez, Framber",664285,DET,CU,Curveball,-0.3,-2,753,29.1,170,0.19,0.32,0.291,30.6,30.6,18.2,0.19,0.287,0.268,35.4
"Matthews, Zebby",805673,MIN,FF,4-Seam Fastball,-0.1,-1,692,36.0,170,0.279,0.483,0.381,13.0,14.1,12.6,0.288,0.484,0.379,43.9
"Ashcraft, Braxton",677952,PIT,CU,Curveball,2.0,13,638,26.4,170,0.135,0.224,0.192,38.7,44.7,27.0,0.169,0.274,0.227,36.6
"Springs, Jeffrey",605488,ATH,CH,Changeup,-0.7,-4,574,24.8,168,0.242,0.395,0.303,35.4,22.0,18.1,0.219,0.336,0.265,24.0
"Schlittler, Cam",693645,NYY,SI,Sinker,1.8,10,550,19.8,168,0.175,0.266,0.245,17.0,23.8,24.0,0.211,0.319,0.267,37.7
"Miller, Bryce",682243,SEA,FF,4-Seam Fastball,0.3,2,645,40.0,168,0.252,0.444,0.335,20.8,22.0,20.1,0.236,0.414,0.317,38.3
"Bibee, Tanner",676440,CLE,FC,Cutter,0.4,3,653,24.3,167,0.211,0.454,0.308,30.0,21.6,19.4,0.248,0.471,0.338,37.8
"Feltner, Ryan",663372,COL,FF,4-Seam Fastball,-1.7,-9,540,29.0,167,0.336,0.55,0.437,13.4,12.6,14.0,0.305,0.538,0.413,44.5
"Jones, Jared",683003,PIT,FF,4-Seam Fastball,0.0,0,648,46.2,167,0.209,0.432,0.307,22.8,22.2,21.1,0.234,0.45,0.326,42.1
"Roupp, Landen",694738,SF,CU,Curveball,0.9,6,675,25.7,167,0.197,0.272,0.261,34.4,34.1,24.2,0.183,0.246,0.239,18.5
"Webb, Logan",657277,SF,CH,Changeup,-0.2,-1,577,24.1,166,0.25,0.34,0.297,27.8,25.3,16.3,0.258,0.352,0.29,33.9
"Ohtani, Shohei",660271,LAD,FF,4-Seam Fastball,1.7,10,602,45.1,166,0.193,0.307,0.263,26.9,25.3,26.9,0.2,0.311,0.261,39.4
"Peralta, Freddy",642547,TB,CH,Changeup,0.2,1,617,23.0,164,0.232,0.351,0.295,28.8,21.3,17.6,0.221,0.328,0.27,23.1
"Holmes, Grant",656550,ATL,FF,4-Seam Fastball,0.2,1,629,29.0,164,0.248,0.445,0.351,16.7,10.4,11.3,0.267,0.516,0.384,49.6
"Skubal, Tarik",669373,LAD,CH,Changeup,1.1,6,553,26.3,164,0.189,0.314,0.241,46.8,39.0,26.2,0.199,0.315,0.234,29.5
"Singer, Brady",663903,CIN,SL,Slider,-0.7,-5,690,27.1,164,0.279,0.481,0.366,31.1,18.9,17.2,0.269,0.454,0.328,44.4
"Bibee, Tanner",676440,CLE,SI,Sinker,0.5,3,560,20.9,163,0.283,0.428,0.36,15.0,15.3,20.0,0.291,0.446,0.359,45.8
"Rasmussen, Drew",656876,TB,FF,4-Seam Fastball,1.1,8,699,28.3,163,0.209,0.345,0.286,25.6,31.3,20.2,0.212,0.346,0.281,39.2
"Bibee, Tanner",676440,CLE,FF,4-Seam Fastball,0.2,1,628,23.4,162,0.273,0.4,0.325,15.4,14.2,13.1,0.275,0.441,0.331,47.7
"Wrobleski, Justin",680736,LAD,SL,Slider,-0.4,-2,568,28.3,162,0.224,0.395,0.302,21.2,19.1,15.6,0.267,0.458,0.329,51.2
"Elder, Bryce",693821,ATL,SL,Slider,-1.4,-7,502,22.4,161,0.25,0.473,0.349,29.5,24.8,23.1,0.241,0.424,0.317,41.7
"O'Brien, Riley",676617,STL,SI,Sinker,0.6,4,586,59.2,161,0.27,0.362,0.333,16.8,16.8,17.9,0.311,0.462,0.372,40.2
"Mejia, Juan",675848,COL,FF,4-Seam Fastball,-1.2,-7,624,53.6,160,0.341,0.424,0.4,18.2,15.0,13.4,0.308,0.409,0.373,41.4
