"last_name, first_name",pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin
"Bubic, Kris",663460,2398.0,2251.0,,2576.0,1536.0,,,,2609.0,
"Adams, Travis",701519,2412.0,2224.0,2498.0,2331.0,1932.0,,,,,
"Tidwell, Blade",694918,2215.0,2099.0,,2428.0,1602.0,2472.0,,,2872.0,
"Wolfram, Grant",664991,2329.0,2239.0,2471.0,2245.0,,2422.0,,,2485.0,
"Megill, Trevor",656730,2400.0,,,,,2706.0,,,,
"Beeter, Clayton",690925,2410.0,,,2812.0,,,,,,
"McCullers Jr., Lance",621121,2138.0,2070.0,2335.0,,1710.0,2818.0,,,2702.0,
"Sisk, Evan",681895,2037.0,1965.0,,,2130.0,2213.0,,,2232.0,
"Thielbar, Caleb",573204,2313.0,,,2314.0,,2589.0,,,2491.0,
"Svanson, Matt",694335,2198.0,2263.0,2289.0,,,,,,2234.0,
"Chapman, Aroldis",547973,2430.0,2457.0,,2326.0,,,1200.0,,,
"Winn, Cole",668390,2401.0,2291.0,2529.0,2658.0,,2491.0,1729.0,,,
"Hicks, Jordan",663855,2279.0,1977.0,,,,,1119.0,,2261.0,
"Kilian, Caleb",668873,2380.0,2408.0,,2535.0,,2703.0,,,,
"Raley, Brooks",548384,,2414.0,2584.0,,1982.0,,,,2924.0,
"Sewald, Paul",623149,2571.0,,2467.0,,,,,,2477.0,
"Gibson, Cade",806188,2330.0,2297.0,,2835.0,1675.0,3120.0,,,3180.0,
"Shugart, Chase",663767,2149.0,2114.0,2451.0,,1854.0,,,,2743.0,
"Klein, Will",694361,2212.0,,,2384.0,,2481.0,,,2516.0,
"Bachman, Sam",696147,2299.0,2352.0,,2673.0,1870.0,,,,2727.0,
"Junis, Jakob",596001,2113.0,2103.0,,,1328.0,,,,2456.0,
"Ribalta, Orlando",687377,2598.0,2449.0,,2089.0,2029.0,,,,,
"Hill, Tim",657612,2077.0,2059.0,,2280.0,,,,,,
"Myers, Tobias",668964,2240.0,,2162.0,2081.0,,,1449.0,,2465.0,
"Barnett, Mason",686930,2242.0,,,2509.0,979.0,2723.0,,,2691.0,
"Dollander, Chase",801403,2356.0,2395.0,,2709.0,1884.0,2748.0,,,2716.0,
"Kimbrel, Craig",518886,2276.0,2096.0,,,1628.0,2584.0,,,2593.0,
