player,pos,mlb,owner,age,fpts,IP,K,ER,BS,QS,CG,SHO,GP
Emmet Sheehan,SP,LAD,GLIZZY,26,182,101,118,57,0,5,0,0,21
Jake Bennett,SP,BOS,GLIZZY,25,181,105,83,43,0,9,0,0,18
Matthew Boyd,SP,CHC,CJF,35,178.33,109.1,86,49,0,8,0,0,19
Connelly Early,SP,WSH,GK,24,,91.2,93,35,0,7,0,0,17
Randy Vasquez,SP,SD,FA,27,,129,81,57,0,6,0,0,28
Connor Prielipp,SP,MIN,FA,25,,113.1,117,66,0,3,0,0,22
Luis Castillo,SP,CHW,FA,33,175.67,128.2,111,81,1,5,0,0,27
Andrew Alvarez,SP,WSH,BAMBI,27,175,102,99,38,0,3,0,0,23
Trey Yesavage,SP,TOR,BAMBI,23,174.67,93.2,91,38,0,7,0,0,18
Cal Quantrill,SP,TEX,GK,31,174.67,102.2,77,33,0,7,0,0,30
Spencer Arrighetti,SP,TOR,LTTA,26,173.33,106.1,102,59,0,6,0,0,22
Tyler Phillips,SP,MIA,GK,28,,119,96,47,1,2,0,0,35
Tomoyuki Sugano,SP,COL,FA,36,172.67,137.2,84,81,0,8,0,0,26
Mitch Keller,SP,PIT,Dan,30,172.67,115.2,89,68,0,9,0,0,22
Jacob Lopez,SP,ATH,BB,28,,111,104,59,0,4,0,0,24
Jeffrey Springs,SP,ATH,FA,33,171,135,105,89,0,5,0,0,27
Gage Jump,SP,ATH,CH,23,,98.2,108,60,0,6,0,0,20
Erick Fedde,SP,CHW,FA,33,169.67,133.2,91,59,0,1,0,0,31
Bryce Miller,SP,SEA,CJF,28,167.33,102.1,101,48,0,3,0,0,19
Jared Jones,SP,PIT,Dan,25,,85.2,100,39,0,5,0,0,18
Kyle Freeland,SP,COL,FA,33,,124.1,103,88,0,4,1,0,24
Slade Cecconi,SP,CLE,FA,27,,115.2,93,65,0,5,0,0,25
Griffin Jax,SP,TB,FA,31,163.33,99.1,103,41,2,2,0,0,31
Clay Holmes,SP,CHC,CJF,33,161.67,91.2,71,29,0,7,0,0,16
Andrew Painter,SP,PHI,CH,23,,110.1,97,70,0,6,0,0,22
Rhett Lowder,SP,CIN,FA,24,,119.1,94,77,0,6,0,0,26
Chad Patrick,SP,MIL,FA,28,,101.1,90,36,1,1,0,0,52
Carmen Mlodzinski,SP,PIT,FA,27,,114,89,49,1,1,0,0,33
Brandon Sproat,SP,MIL,FA,25,,97,101,60,0,4,0,0,22
Jack Flaherty,SP,DET,FA,30,,86.1,102,44,0,2,0,0,19
Robert Gasser,SP,MIL,FA,27,,91.1,87,45,0,4,0,0,18
Spencer Miles,SP,TOR,FA,26,,89.2,86,27,0,0,0,0,46
Adrian Houser,SP,SF,FA,33,,109.2,75,49,0,3,0,0,26
Aaron Civale,SP,CHC,FA,31,,103,87,49,0,1,0,0,29
A.J. Blubaugh,SP,HOU,FA,26,,90,90,33,1,0,0,0,58
Drew Anderson,SP,DET,FA,32,,97,105,41,6,0,0,0,47
Tatsuya Imai,SP,HOU,FA,28,,72.2,91,42,0,5,0,0,20
Ryan Feltner,SP,COL,FA,30,,111.2,83,73,0,5,0,0,23
Jack Perkins,SP,ATH,FA,26,141.33,103.1,119,75,2,0,0,0,34
Carlos Rodon,SP,NYY,CJF,33,,70.1,78,23,0,4,0,0,14
Janson Junk,SP,MIA,FA,30,,111,74,56,0,3,0,0,23
Grant Taylor,SP,CHW,FA,24,,76.2,100,19,6,0,0,0,56
Eric Lauer,SP,LAD,FA,31,138.33,108.1,72,63,1,6,0,0,22
Tyler Glasnow,SP,LAD,BB,33,,61.2,77,24,0,5,0,0,11
Sean Newcomb,SP,CHW,FA,33,,84.1,78,26,1,0,0,0,54
Mason Montgomery,SP,PIT,FA,26,131.67,61.2,95,19,2,0,0,0,63
Nick Lodolo,SP,CIN,CJF,28,,89.2,75,51,0,4,0,0,18
Zack Littell,SP,ARI,FA,30,,124.1,73,72,0,1,0,0,26
Brayan Bello,SP,BOS,FA,27,128.67,102.2,77,55,0,1,0,0,23
Zac Thornton,SP,NYM,CH,24,,73.1,55,28,0,7,0,0,13
Lake Bachar,SP,PIT,FA,31,,79.1,83,31,1,0,0,0,48
Ben Brown,SP,CHC,FA,27,,68,65,14,1,3,0,0,20
Jake Irvin,SP,WSH,FA,29,,91.1,90,56,0,0,0,0,19
Tyler Wells,SP,TB,FA,32,,72,72,19,0,0,0,0,57
Jack Leiter,SP,TEX,FA,26,,80,83,47,0,2,0,0,15
Jameson Taillon,SP,TOR,FA,34,124,86,76,54,0,4,0,0,18
Ryne Nelson,SP,ARI,GLIZZY,28,,83.1,62,46,0,6,0,0,15
Michael Lorenzen,SP,TOR,FA,34,,124.1,88,97,0,2,0,0,30
Mike Burrows,SP,HOU,FA,26,,94.2,75,63,0,4,0,0,18
Brent Suter,SP,ATL,FA,37,,86.1,73,34,1,0,0,0,51
Tanner Gordon,SP,COL,FA,28,,97.1,81,60,0,1,0,0,22
Chris Bassitt,SP,BAL,FA,37,,90.1,66,49,0,3,0,0,18
Paul Blackburn,SP,NYY,FA,32,,79.2,66,15,4,0,0,0,57
Didier Fuentes,SP,ATL,FA,21,,67.1,86,17,6,0,0,0,54
