player,pos,mlb,owner,status
Kevin Gausman,SP,CHC,LTTA,RESERVE
Will Smith,C,LAD,LTTA,RESERVE
Cody Bellinger,LF,NYY,LTTA,ACTIVE
Nathan Eovaldi,SP,TEX,LTTA,INJURED_RESERVE
Peter Lambert,SP,HOU,GLIZZY,ACTIVE
Miguel Vargas,3B,CHW,GLIZZY,ACTIVE
Zack Wheeler,SP,PHI,GLIZZY,ACTIVE
Jung Hoo Lee,CF,SF,GLIZZY,RESERVE
Hayden Wesneski,SP,HOU,GLIZZY,ACTIVE
Ryne Nelson,SP,ARI,GLIZZY,RESERVE
MacKenzie Gore,SP,TEX,GLIZZY,RESERVE
Jake Bennett,SP,BOS,GLIZZY,RESERVE
Samad Taylor,2B,SD,GLIZZY,ACTIVE
Kyle Stowers,LF,MIA,GLIZZY,ACTIVE
William Contreras,C,MIL,GLIZZY,ACTIVE
Randy Arozarena,LF,SEA,GLIZZY,ACTIVE
Drew Rasmussen,SP,TB,GLIZZY,RESERVE
Pete Crow-Armstrong,CF,CHC,GLIZZY,ACTIVE
Wilyer Abreu,RF,BOS,GLIZZY,ACTIVE
Taj Bradley,SP,MIN,GLIZZY,ACTIVE
Josh Naylor,1B,SEA,GLIZZY,ACTIVE
Thomas White,SP,MIA,GLIZZY,MINORS
Luis Arraez,1B,PHI,GLIZZY,ACTIVE
Brent Rooker,DH,ATH,GLIZZY,INJURED_RESERVE
Heliot Ramos,LF,NYY,GLIZZY,RESERVE
Bo Bichette,SS,NYM,GLIZZY,RESERVE
Kevin McGonigle,SS,DET,GLIZZY,ACTIVE
Jose Soriano,SP,TOR,GLIZZY,ACTIVE
Leo De Vries,SS,ATH,Dan,MINORS
Spencer Torkelson,1B,DET,Dan,RESERVE
Salvador Perez,C,KC,Dan,ACTIVE
Jorge Soler,RF,LAA,Dan,RESERVE
Andres Gimenez,2B,TOR,Dan,RESERVE
Max Meyer,SP,MIA,Dan,INJURED_RESERVE
Brandon Nimmo,LF,TEX,Dan,ACTIVE
Chase Burns,SP,CIN,Dan,ACTIVE
Robbie Ray,SP,SD,Dan,ACTIVE
Michael McGreevy,SP,STL,Dan,ACTIVE
Jared Jones,SP,PIT,Dan,RESERVE
Corbin Carroll,RF,ARI,Dan,ACTIVE
Ethan Holliday,SS,COL,Dan,MINORS
Gavin Williams,SP,CLE,Dan,ACTIVE
Foster Griffin,SP,CLE,Dan,ACTIVE
Nico Hoerner,2B,CHC,Dan,ACTIVE
Rafael Devers,DH,SF,Dan,ACTIVE
Dansby Swanson,SS,CHC,Dan,ACTIVE
Steven Kwan,LF,CLE,Dan,ACTIVE
Carlos Correa,SS,HOU,Dan,INJURED_RESERVE
Mitch Keller,SP,PIT,Dan,RESERVE
Luis Garcia Jr.,2B,NYY,Dan,ACTIVE
Isaac Paredes,3B,HOU,Dan,ACTIVE
Otto Lopez,SS,MIA,Dan,ACTIVE
Ryan Pepiot,SP,TB,Dan,INJURED_RESERVE
Sonny Gray,SP,BOS,Dan,RESERVE
J.T. Ginn,SP,ATH,THALER,RESERVE
Michael Busch,1B,CHC,THALER,ACTIVE
Ethan Salas,C,SD,THALER,ACTIVE
Colson Montgomery,SS,CHW,THALER,ACTIVE
Will Warren,SP,NYY,THALER,ACTIVE
Casey Mize,SP,SD,THALER,ACTIVE
JJ Wetherholt,SS,STL,THALER,INJURED_RESERVE
Mike Trout,DH,LAA,THALER,ACTIVE
Jake Bauers,LF,MIL,THALER,ACTIVE
JJ Bleday,CF,CIN,THALER,RESERVE
Willi Castro,2B,COL,THALER,INJURED_RESERVE
Travis Bazzana,2B,CLE,THALER,ACTIVE
Konnor Griffin,SS,PIT,THALER,RESERVE
George Lombard Jr.,SS,NYY,THALER,ACTIVE
Brett Bateman,CF,TOR,THALER,ACTIVE
Gabriel Moreno,C,ARI,THALER,ACTIVE
Shane Baz,SP,BAL,THALER,ACTIVE
Juan Soto,RF,NYM,THALER,ACTIVE
Eduardo Rodriguez,SP,ARI,THALER,ACTIVE
Elmer Rodriguez,SP,NYY,THALER,RESERVE
Spencer Schwellenbach,SP,ATL,THALER,INJURED_RESERVE
Charlie Condon,1B,COL,THALER,MINORS
Dustin May,SP,MIL,THALER,ACTIVE
Gage Wood,SP,PHI,THALER,MINORS
Walbert Urena,SP,LAA,THALER,RESERVE
Joe Musgrove,SP,SD,THALER,INJURED_RESERVE
Jackson Jobe,SP,DET,THALER,RESERVE
Brandon Marsh,CF,PHI,Dpf,RESERVE
Paul Skenes,SP,PIT,Dpf,ACTIVE
Zac Gallen,SP,ARI,Dpf,INJURED_RESERVE
Tyler Mahle,SP,ATL,Dpf,RESERVE
Tyler Soderstrom,LF,ATH,Dpf,INJURED_RESERVE
Braxton Ashcraft,RP,PIT,Dpf,ACTIVE
Ranger Suarez,SP,BOS,Dpf,ACTIVE
Mookie Betts,SS,LAD,Dpf,ACTIVE
Max Muncy,3B,LAD,Dpf,ACTIVE
Luis Robert Jr.,CF,BAL,Dpf,RESERVE
Luke Keaschall,2B,MIN,Dpf,ACTIVE
Kazuma Okamoto,3B,TOR,Dpf,ACTIVE
Francisco Lindor,SS,NYM,Dpf,ACTIVE
Aaron Nola,SP,PHI,Dpf,RESERVE
J.T. Realmuto,C,PHI,Dpf,ACTIVE
Giancarlo Stanton,DH,NYY,Dpf,INJURED_RESERVE
Grant Holmes,SP,ATL,Dpf,RESERVE
Nick Martinez,SP,TB,Dpf,RESERVE
Nolan McLean,SP,NYM,Dpf,ACTIVE
Brandon Pfaadt,SP,ARI,Dpf,ACTIVE
Ozzie Albies,2B,ATL,Dpf,ACTIVE
Mickey Moniak,RF,COL,Dpf,ACTIVE
Royce Lewis,3B,MIN,Dpf,ACTIVE
Bryce Elder,SP,ATL,Dpf,RESERVE
Joshua Kuroda-Grauer,SS,ATH,Dpf,INJURED_RESERVE
Tristan Peters,LF,CHW,Dpf,ACTIVE
Braden Montgomery,CF,CHW,CJF,ACTIVE
Nick Lodolo,SP,CIN,CJF,ACTIVE
Munetaka Murakami,1B,CHW,CJF,ACTIVE
Teoscar Hernandez,RF,LAD,CJF,ACTIVE
Ezequiel Duran,SS,TEX,CJF,ACTIVE
Ian Happ,LF,CHC,CJF,ACTIVE
Spencer Steer,1B,CIN,CJF,RESERVE
Noah Schultz,SP,CHW,CJF,RESERVE
Landen Roupp,SP,SF,CJF,RESERVE
Vladimir Guerrero Jr.,1B,TOR,CJF,RESERVE
Nick Gonzales,2B,PIT,CJF,ACTIVE
Carlos Rodon,SP,NYY,CJF,INJURED_RESERVE
Matthew Boyd,SP,CHC,CJF,ACTIVE
Clay Holmes,SP,CHC,CJF,INJURED_RESERVE
Freddy Peralta,SP,TB,CJF,RESERVE
Roman Anthony,RF,BOS,CJF,INJURED_RESERVE
Jake Burger,1B,TEX,CJF,ACTIVE
Jordan Walker,RF,STL,CJF,ACTIVE
Bryce Miller,SP,SEA,CJF,ACTIVE
Tanner Bibee,SP,CLE,CJF,ACTIVE
Ryan Weathers,SP,NYY,CJF,RESERVE
Brayan Rocchio,SS,CLE,CJF,ACTIVE
Oneil Cruz,CF,PIT,CJF,INJURED_RESERVE
Michael Wacha,SP,KC,CJF,RESERVE
Hunter Goodman,C,COL,CJF,ACTIVE
Noah Cameron,SP,KC,CJF,ACTIVE
Grady Emerson,SS,TB,GK,MINORS
Brandon Young,SP,BAL,GK,RESERVE
Ceddanne Rafaela,CF,BOS,GK,RESERVE
Jonah Heim,C,ATH,GK,ACTIVE
Connelly Early,SP,WSH,GK,INJURED_RESERVE
Anthony Kay,SP,CHW,GK,RESERVE
Spencer Strider,SP,ATL,GK,INJURED_RESERVE
Ronald Acuna Jr.,RF,ATL,GK,ACTIVE
Caleb Durbin,3B,BOS,GK,ACTIVE
Samuel Basallo,C,BAL,GK,RESERVE
Sebastian Walcott,SS,TEX,GK,MINORS
Cal Quantrill,SP,TEX,GK,RESERVE
Dominic Canzone,RF,SEA,GK,ACTIVE
Max Fried,SP,NYY,GK,ACTIVE
Sean Burke,SP,CHW,GK,ACTIVE
Pete Alonso,1B,BAL,GK,ACTIVE
Shota Imanaga,SP,CHC,GK,ACTIVE
Ryan OHearn,1B,PIT,GK,INJURED_RESERVE
Chase DeLauter,CF,CLE,GK,RESERVE
Carson Benge,CF,NYM,GK,ACTIVE
Yohandy Morales,1B,WSH,GK,RESERVE
Angel Martinez,CF,CLE,GK,ACTIVE
Ketel Marte,2B,ARI,GK,ACTIVE
Kyle Leahy,RP,STL,GK,ACTIVE
Daylen Lile,RF,WSH,GK,ACTIVE
Tyler Phillips,RP,MIA,GK,ACTIVE
Curtis Mead,1B,BOS,GK,INJURED_RESERVE
Gunnar Henderson,SS,BAL,GK,ACTIVE
Carter Jensen,C,KC,BB,ACTIVE
T.J. Rumfield,1B,COL,BB,ACTIVE
Cole Carrigg,CF,COL,BB,ACTIVE
Ty France,1B,SD,BB,ACTIVE
Brandon Lowe,2B,PIT,BB,RESERVE
Tyler Glasnow,SP,LAD,BB,RESERVE
Jacob Lopez,SP,ATH,BB,ACTIVE
Trevor Rogers,SP,BAL,BB,ACTIVE
Payton Tolle,RP,BOS,BB,ACTIVE
Seth Hernandez,SP,PIT,BB,MINORS
Shohei Ohtani,DH,LAD,BB,INJURED_RESERVE
Julio Rodriguez,CF,SEA,BB,ACTIVE
Bobby Witt Jr.,SS,KC,BB,ACTIVE
Logan Gilbert,SP,SEA,BB,RESERVE
James Wood,LF,WSH,BB,ACTIVE
Sal Stewart,1B,CIN,BB,ACTIVE
Dylan Cease,SP,TOR,BB,ACTIVE
Leo Bernal,C,STL,BB,RESERVE
Corey Seager,SS,TEX,BB,ACTIVE
Bryan Woo,SP,SEA,BB,ACTIVE
Logan Henderson,SP,MIL,BB,RESERVE
Fernando Tatis Jr.,RF,SD,BB,ACTIVE
Nick Kurtz,1B,ATH,BB,INJURED_RESERVE
Ian Seymour,RP,TB,BB,RESERVE
Rainiel Rodriguez,C,STL,BB,MINORS
