mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
703520,Brett Bateman,Toronto Blue Jays,L,OF,THALER,6,26.6,0.994,0.968,4.6,0.39101851851851854,110.0,83
592885,Christian Yelich,Milwaukee Brewers,L,UT,LTTA,6,26.6,1.146,0.969,3.99,0.35532608695652174,93.0,84
693307,Dillon Dingler,Detroit Tigers,R,C,MMM,7,26.5,0.951,0.997,4.0,0.18372093023255814,86.0,85
703607,Henry Bolte,Athletics,R,OF,CS,6,26.4,1.006,0.99,4.41,0.3791129032258065,124.0,86
669257,Will Smith,Los Angeles Dodgers,R,C,LTTA,7,26.4,1.104,0.98,3.49,0.28883720930232554,43.0,87
650402,Gleyber Torres,Detroit Tigers,R,2B,FA,7,26.4,0.944,0.947,4.23,0.2671276595744681,96.0,88
660670,Ronald Acuña Jr.,Atlanta Braves,R,OF,GK,6,26.4,0.97,1.03,4.4,0.3445378151260504,119.0,89
663886,Tyler Stephenson,Cincinnati Reds,R,C,FA,7,26.4,1.034,0.985,3.7,0.30587628865979377,97.0,90
805367,Chase Meidroth,Chicago White Sox,R,2B,LTTA,7,26.4,0.985,0.928,4.13,0.2774774774774775,111.0,91
606466,Ketel Marte,Arizona Diamondbacks,S,2B,GK,6,26.3,0.97,0.98,4.61,0.31983333333333336,62.0,92
543760,Marcus Semien,New York Mets,R,2B,FA,7,26.3,1.011,0.936,3.98,0.3003,100.0,93
803011,Sam Antonacci,Chicago White Sox,L,2B/OF,BAMBI,7,26.3,0.952,0.988,4.0,0.33,112.0,94
808959,Munetaka Murakami,Chicago White Sox,L,1B,CJF,7,26.2,0.874,0.978,4.38,0.22885245901639342,123.0,95
805811,Bryce Eldridge,San Francisco Giants,L,1B,CH,6,26.2,1.017,0.977,4.39,0.4199107142857143,112.0,96
701678,Hao-Yu Lee,Detroit Tigers,R,2B/3B,FA,7,26.1,1.055,0.952,3.71,0.33989898989898987,100.0,97
680574,Matt McLain,Cincinnati Reds,R,2B/SS,FA,7,26.0,1.039,0.953,3.75,0.23239130434782607,94.0,98
699024,Leo Bernal,St. Louis Cardinals,S,C,BB,6,25.8,1.0,0.986,4.36,0.3723333333333333,60.0,99
656811,Ryan O'Hearn,Pittsburgh Pirates,L,1B/OF,GK,6,25.8,1.119,0.974,3.94,0.25857142857142856,14.0,100
682877,Juan Brito,Cincinnati Reds,S,2B,FA,7,25.8,1.137,0.962,3.37,0.414375,32.0,101
671056,Iván Herrera,St. Louis Cardinals,R,C,LTTA,6,25.8,0.986,0.957,4.55,0.2911023622047244,128.0,102
608070,José Ramírez,Cleveland Guardians,S,3B,MMM,6,25.7,0.983,0.998,4.36,0.21846153846153848,105.0,103
641355,Cody Bellinger,New York Yankees,L,OF,LTTA,6,25.7,1.014,0.998,4.23,0.3680645161290323,93.0,104
694208,Moisés Ballesteros,Los Angeles Angels,L,C,FA,7,25.6,1.055,0.93,3.73,0.2991111111111111,90.0,105
676475,Alec Burleson,St. Louis Cardinals,L,1B,LTTA,6,25.5,1.005,1.016,4.17,0.3142241379310345,116.0,106
691023,Jordan Walker,St. Louis Cardinals,R,OF,CJF,6,25.5,0.987,1.047,4.12,0.3162280701754386,114.0,107
683737,Michael Busch,Chicago Cubs,L,1B,THALER,6,25.4,1.043,0.943,4.31,0.328695652173913,115.0,108
668904,Royce Lewis,Minnesota Twins,R,1B/3B,Dpf,7,25.4,0.958,0.962,3.93,0.20618556701030927,97.0,109
694374,Tim Tawa,Arizona Diamondbacks,R,1B/OF,FA,6,25.4,1.2,0.963,3.66,0.3406060606060606,99.0,110
571448,Nolan Arenado,Arizona Diamondbacks,R,3B,FA,6,25.3,1.108,0.943,4.04,0.3265979381443299,98.0,111
695506,Jac Caglianone,Kansas City Royals,L,1B/OF,CH,6,25.2,1.081,1.018,3.81,0.35294117647058826,68.0,112
